"Imigranti dupa nationalitate, 1993-2018"
"Nationalitatea imigrantilor;""1993"";""1994"";""1995"";""1996"";""1997"";""1998"";""1999"";""2000"";""2001"";""2002"";""2003"";""2004"";""2005"";""2006"";""2007"";""2008"";""2009"";""2010"";""2011"";""2012"";""2013"";""2014"";""2015"";""2016"";""2017"";""2018"""
Evreu;10;19;18;16;29;13;9;13;11;18;28;26;25;36;28;74;55;41;59;58;80;82;50;69;61;77
Ezid;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Filandez;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;2;9;11;3;6;2;4
Francez;-;-;2;-;1;12;6;6;4;2;7;11;12;19;20;33;30;31;51;43;33;42;42;29;41;34
Gagauz;4;7;5;5;6;3;14;2;-;7;3;2;3;3;-;3;2;2;-;1;-;3;4;5;1;13
Ganez;1;1;1;-;-;-;2;4;-;-;-;-;-;2;-;-;-;2;3;1;2;-;-;-;-;1
Georgian;5;7;15;8;6;5;3;3;2;7;11;8;15;8;9;18;13;24;23;33;28;21;35;25;23;21
German;10;5;9;9;11;8;14;8;12;8;16;15;20;18;20;49;38;52;36;63;54;53;34;38;22;30
Grec;1;1;1;4;8;14;15;8;6;11;2;10;12;18;9;18;10;16;18;29;29;25;20;18;15;15
Guinez;5;5;1;2;-;-;-;-;-;-;1;-;2;1;6;6;-;2;-;-;5;1;-;1;-;1
Hmer;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Iakut;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-
Indian;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;7;-;18;30;33;62;82
Indonez;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;4;-;4;1;4;4
Indus;9;4;4;1;1;1;3;3;6;8;11;13;17;3;7;11;1;11;8;10;4;5;3;3;1;-
