Imigranti dupa Tara de emigrare si Scopul sosirii în anii 2001-2010,2001
Ucraina,224
Siria,215
Iordania,112
Turcia,110
Romania,99
SUA,56
Rusia,52
Bulgaria,48
Israel,38
Sudan,38
