Imigranti dupa Tara de emigrare si Scopul sosirii în anii 2001-2010,2003
Ucraina,321
Siria,197
Turcia,196
Rusia,121
Bulgaria,100
SUA,91
Romania,79
Israel,68
Iordania,39
Sudan,39
