Imigranti dupa Tara de emigrare si Scopul sosirii în anii 2001-2010,2002
Siria,243
Ucraina,196
Turcia,180
Iordania,73
Rusia,73
SUA,71
Romania,64
Bulgaria,46
Israel,40
Sudan,24
